Index,Time,Timestamp,Accumulated Generation Throughput (tokens/s),CPU Frequency,CPU Temperature
1,0.15133428573608398,0,6.608,4334,61.9
2,0.156538724899292,0,6.496,4334,61.9
3,0.19052338600158691,0,6.019,4334,61.9
4,0.15442490577697754,0,6.127,4334,61.9
5,0.1527116298675537,0,6.207,4334,61.9
6,0.15358352661132812,0,6.256,4334,61.9
7,0.15416479110717773,1,6.288,5096,61.5
8,0.1505744457244873,1,6.330,5096,61.5
9,0.15014195442199707,1,6.365,5096,61.5
10,0.15912795066833496,1,6.357,5096,61.5
11,0.14566946029663086,1,6.400,5096,61.5
12,0.1450788974761963,1,6.438,5096,61.5
13,0.14369630813598633,2,6.475,5273,61.1
14,0.16640734672546387,2,6.440,5273,61.1
15,0.1660609245300293,2,6.410,5273,61.1
16,0.16538548469543457,2,6.386,5273,61.1
17,0.16485285758972168,2,6.366,5273,61.1
18,0.1658000946044922,2,6.347,5273,61.1
19,0.1656055450439453,3,6.330,4912,60.9
20,0.15661263465881348,3,6.333,4912,60.9
21,0.1529374122619629,3,6.342,4912,60.9
22,0.14994263648986816,3,6.356,4912,60.9
23,0.14494729042053223,3,6.378,4912,60.9
24,0.14495849609375,3,6.398,4912,60.9
25,0.14461207389831543,3,6.417,4912,60.9
26,0.14673590660095215,4,6.432,5296,60.6
27,0.15236258506774902,4,6.437,5296,60.6
28,0.15196633338928223,4,6.442,5296,60.6
29,0.15207290649414062,4,6.446,5296,60.6
30,0.15115618705749512,4,6.452,5296,60.6
31,0.1523749828338623,4,6.455,5296,60.6
32,0.1512303352355957,4,6.460,5296,60.6
33,0.16139626502990723,5,6.452,5353,60.5
34,0.1657404899597168,5,6.439,5353,60.5
35,0.16645503044128418,5,6.425,5353,60.5
36,0.1661818027496338,5,6.413,5353,60.5
37,0.16489243507385254,5,6.403,5353,60.5
38,0.16687393188476562,5,6.392,5353,60.5
39,0.16274023056030273,6,6.385,4942,60.2
40,0.15159296989440918,6,6.390,4942,60.2
41,0.1521439552307129,6,6.395,4942,60.2
42,0.15153717994689941,6,6.399,4942,60.2
43,0.1515979766845703,6,6.404,4942,60.2
44,0.15094208717346191,6,6.409,4942,60.2
45,0.15362787246704102,7,6.411,4934,60.1
46,0.14371371269226074,7,6.422,4934,60.1
47,0.1395893096923828,7,6.436,4934,60.1
48,0.13958525657653809,7,6.450,4934,60.1
49,0.1426715850830078,7,6.460,4934,60.1
50,0.1483006477355957,7,6.466,4934,60.1
51,0.14791107177734375,7,6.471,4934,60.1
52,0.1479334831237793,8,6.477,4932,60.1
53,0.15193605422973633,8,6.478,4932,60.1
54,0.1454918384552002,8,6.485,4932,60.1
55,0.14471673965454102,8,6.493,4932,60.1
56,0.14459586143493652,8,6.500,4932,60.1
57,0.1452775001525879,8,6.506,4932,60.1
58,0.1457366943359375,8,6.512,4932,60.1
59,0.14511656761169434,9,6.518,4710,60.1
60,0.15066194534301758,9,6.520,4710,60.1
61,0.14733266830444336,9,6.524,4710,60.1
62,0.14751482009887695,9,6.528,4710,60.1
