Index,attn,ffn_compute,ffn_comm
0,3.9372026920318604,0.0,0.0
1,0.778663158416748,3.376680612564087,0.0
2,0.5360066890716553,0.0,0.0
3,0.3907918930053711,2.9650628566741943,0.0
4,0.38123130798339844,2.922278642654419,0.0
5,0.37369728088378906,2.9079675674438477,0.0
6,0.3749072551727295,2.915465831756592,0.0
7,0.38851499557495117,2.98154354095459,0.0
8,0.3919064998626709,3.0904054641723633,0.0
9,0.3868520259857178,2.9018402099609375,0.0
10,0.42255520820617676,2.9299676418304443,0.0
11,0.3972351551055908,2.887392044067383,0.0
12,0.39487481117248535,2.8826534748077393,0.0
13,0.39972662925720215,2.8914153575897217,0.0
14,0.4037439823150635,2.8943657875061035,0.0
15,0.40181875228881836,2.907848358154297,0.0
16,0.4054427146911621,2.9323458671569824,0.0
17,0.4134833812713623,2.9733896255493164,0.0
18,0.37386417388916016,2.941542863845825,0.0
19,0.3712296485900879,2.9214859008789062,0.0
20,0.37049055099487305,2.9176414012908936,0.0
21,0.36980509757995605,2.9178202152252197,0.0
22,0.37105679512023926,2.919071912765503,0.0
23,0.3739595413208008,2.947843074798584,0.0
24,0.3903627395629883,2.9531776905059814,0.0
25,0.38034915924072266,2.9266774654388428,0.0
26,0.37062764167785645,2.927941083908081,0.0
27,0.36977529525756836,2.9224395751953125,0.0
28,0.37337541580200195,2.9312849044799805,0.0
29,0.37110447883605957,2.9322922229766846,0.0
30,0.3736913204193115,2.927786111831665,0.0
31,0.37883520126342773,2.960801124572754,0.0
32,0.4151880741119385,2.9536783695220947,0.0
33,0.4193544387817383,2.9773831367492676,0.0
34,0.4118382930755615,2.967190742492676,0.0
35,0.3951132297515869,2.926856279373169,0.0
36,0.3948211669921875,2.922964096069336,0.0
37,0.3956317901611328,2.931845188140869,0.0
38,0.3928184509277344,2.92094349861145,0.0
39,0.4328727722167969,3.079962730407715,0.0
40,0.3739476203918457,2.9298007488250732,0.0
41,0.37352442741394043,2.9324352741241455,0.0
42,0.3722667694091797,2.928292751312256,0.0
43,0.371396541595459,2.9245615005493164,0.0
44,0.37183165550231934,2.9241740703582764,0.0
45,0.37110447883605957,2.9253780841827393,0.0
46,0.3927171230316162,2.9485881328582764,0.0
47,0.391465425491333,2.8865575790405273,0.0
48,0.3938138484954834,2.887803316116333,0.0
49,0.3948032855987549,2.8929054737091064,0.0
50,0.39287805557250977,2.8855741024017334,0.0
51,0.3956735134124756,2.88848876953125,0.0
52,0.391465425491333,2.8782546520233154,0.0
53,0.40705204010009766,2.953767776489258,0.0
54,0.37459731101989746,2.978670597076416,0.0
55,0.37609338760375977,2.9854893684387207,0.0
56,0.3795146942138672,2.9864609241485596,0.0
57,0.38018226623535156,2.987384796142578,0.0
58,0.37896037101745605,2.986764907836914,0.0
59,0.37868618965148926,2.985525131225586,0.0
60,0.4017770290374756,3.0494868755340576,0.0
61,0.3927767276763916,2.9867827892303467,0.0
62,0.38955211639404297,2.9871225357055664,0.0
63,0.3882408142089844,2.984374761581421,0.0
64,0.3886103630065918,2.983647584915161,0.0
65,0.388413667678833,2.9819071292877197,0.0
66,0.38764476776123047,2.9886186122894287,0.0
67,0.3972053527832031,3.033238649368286,0.0
68,0.3825366497039795,2.987736463546753,0.0
69,0.37932395935058594,2.993631362915039,0.0
70,0.3816366195678711,2.982473373413086,0.0
71,0.3797292709350586,2.9842138290405273,0.0
72,0.3810584545135498,2.984076738357544,0.0
73,0.3811299800872803,2.9899299144744873,0.0
74,0.3856778144836426,3.0248284339904785,0.0
75,0.4044473171234131,2.911818027496338,0.0
76,0.3949284553527832,2.8872787952423096,0.0
77,0.39349794387817383,2.882140874862671,0.0
78,0.3943443298339844,2.8831303119659424,0.0
79,0.39249658584594727,2.87930965423584,0.0
80,0.39374232292175293,2.8854846954345703,0.0
81,0.3933370113372803,2.880418300628662,0.0
82,0.4012942314147949,2.997225522994995,0.0
83,0.3797173500061035,3.000760078430176,0.0
84,0.37940144538879395,3.0037403106689453,0.0
85,0.3763139247894287,2.981853485107422,0.0
86,0.37650465965270996,2.9800713062286377,0.0
87,0.37496089935302734,2.9828429222106934,0.0
88,0.37700533866882324,2.9842495918273926,0.0
89,0.40865540504455566,3.037846088409424,0.0
90,0.39041638374328613,2.9874086380004883,0.0
91,0.38912296295166016,2.9822885990142822,0.0
92,0.38607120513916016,2.903968095779419,0.0
93,0.3907322883605957,2.8834760189056396,0.0
94,0.39030909538269043,2.881079912185669,0.0
95,0.38988590240478516,2.8778553009033203,0.0
96,0.40283203125,2.9563188552856445,0.0
97,0.38103461265563965,2.987736463546753,0.0
98,0.3802180290222168,2.985745668411255,0.0
99,0.3817737102508545,2.987349033355713,0.0
